id,所在区,分類,施設名,組織,利用定員_2号_3号,所在地,電話番号,受け入れ開始月齢,卒園年齢,開始時間_標準,終了時間_標準,開始時間_短時間,終了時間_短時間,延長保育_開始時間_朝,延長保育_終了時間_夕,一時預かり_一時保育,園庭開放,備考,URL,利用定員_分園含_2号_3号,入所の可能性０歳児,入所の可能性１歳児,入所の可能性２歳児,入所の可能性３歳児,入所の可能性４歳児,入所の可能性５歳児,申込児童数０歳児,申込児童数１歳児,申込児童数２歳児,申込児童数３歳児,申込児童数４歳児,申込児童数５歳児,合計,公開,x,y
1001,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　聖ニコラス天使園,（福）,90,神戸市東灘区北青木４－１－３７,078-412-6080,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,,1号定員有,http://www.eonet.ne.jp/~nicholas/,90,×,×,○,○,×,×,,,,,,,,,135.2803033,34.71729908
1002,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　夢,（福）,100,神戸市東灘区住吉宮町１－２－２７,078-858-9614,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,1号定員有。０～３歳児を全員本園で、４・５歳児を夢遊喜分園で教育・保育を行います。,http://www.yumekoubou.or.jp/hoiku/yume/page1/main.html,160,○,○,×,×,○,×,,,,,,,,,135.2649912,34.71267047
1003,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　夢遊喜分園,（福）,60,神戸市東灘区住吉宮町１－８－８,078-858-9610,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,０～３歳児を全員本園で、４・５歳児を夢遊喜分園で教育・保育を行います。空き状況は本園に記載しています。,http://www.yumekoubou.or.jp/hoiku/yume/page1/main.html,,,,,,,,,,,,,,,,135.2633648,34.71276485
1004,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　石屋川くるみ保育園,（福）,70,神戸市東灘区御影塚町２－２２－１９,078-842-4152,生後５７日,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,,http://kobe.yoiko-net.jp/yoikonet/user/ishiyagawa/blog/showDetail.do,70,○,×,×,×,×,×,,,,,,,,,135.2473115,34.71238599
1005,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　本山北町あすのこども園,（福）,150,神戸市東灘区本山北町３－２－２８,078-441-1905,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,20:00,,○,1号定員有,http://hyogo-hoiku.jp/category/motoyamakita,150,×,×,×,×,×,×,,,,,,,,,135.2804852,34.72775804
1006,東灘区,幼保連携型認定こども園,認定こども園　魚崎COCORO,（福）,120,神戸市東灘区魚崎西町２－４－１,078-858-5561,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○,1号定員有,http://www.cocoro-hoikuen.com/nursery/cocoro.html,120,×,×,×,×,×,×,,,,,,,,,135.2682028,34.71033027
1007,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　きらり保育園,（福）,100,神戸市東灘区本庄町１－３－１,078-412-0415,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,,http://akatsuki.or.jp/kirari.html,100,×,×,×,×,○,○,,,,,,,,,135.2941353,34.72629354
1008,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　きたおおぎこども園,（福）,130,神戸市東灘区北青木１－１－２,078-411-5421,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,,http://www.city.kobe.lg.jp/child/grow/shinseido/img/008_202026.pdf,130,○,×,○,×,×,○,,,,,,,,,135.2868455,34.72102163
1009,東灘区,幼保連携型認定こども園,認定こども園　松蔭おかもと保育園,（福）,60,神戸市東灘区岡本７－３－１４,078-262-1150,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,1号定員有,http://www.shoin-hoikuen.net/profile/gaiyo.html,60,×,×,×,×,×,×,,,,,,,,,135.2717122,34.72885157
1010,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　第２きらり保育園,（福）,72,神戸市東灘区深江本町１－１３－２５,078-411-2003,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,,http://akatsuki.or.jp/dainikirari.html,72,×,×,×,×,○,×,,,,,,,,,135.2989439,34.72555691
1011,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　同朋住吉台こども園,（福）,50,神戸市東灘区住吉台２５－７,078-846-6011,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○,1号定員有,http://www7a.biglobe.ne.jp/~dohosumiyoshi/,50,○,○,○,×,○,○,,,,,,,,,135.2568282,34.73864189
1012,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　甲南すこやかこども園,（福）,90,神戸市東灘区魚崎北町２－１０－１０,078-453-4152,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○,1号定員有,http://www.sukoyakakai.jp/,90,○,×,×,×,×,×,,,,,,,,,135.2745649,34.71820279
1013,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　モーツァルトこども園,（福）,90,神戸市東灘区本山南町８－３－３,078-431-3111,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,1号定員有,http://kodomoen.com/,90,×,×,×,×,×,○,,,,,,,,,135.2817938,34.7229886
1014,東灘区,幼保連携型認定こども園,認定こども園　あおい宙,（福）,90,神戸市東灘区本山南町７－５－２１,078-441-2444,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○,1号定員有,http://www.aoisora-ufo.com/index.html,90,○,×,○,×,×,×,,,,,,,,,135.2853817,34.72529525
1015,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　甲南こども園,（福）,60,神戸市東灘区森南町３－１－４,078-441-8345,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○,,http://konan-hoikuen.net/index.htm,60,○,×,×,×,×,×,,,,,,,,,135.2894395,34.72758673
1016,東灘区,幼保連携型認定こども園,光の子認定こども園,（福）,201,神戸市東灘区向洋町中２－３,078-857-1577,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,20:00,○,○,1号定員有,http://hikarinoko-nursery.jp/,230,×,×,×,○,○,×,,,,,,,,,135.2717609,34.6891498
1019,東灘区,幼保連携型認定こども園,光の子認定こども園マナ分園,（福）,20,神戸市東灘区向洋町中５－１３,078-811-1132,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,,,マナ分園及びリジョイス分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）。空き状況は本園に記載しています。,http://hikarinoko-nursery.jp/,,,,,,,,,,,,,,,,135.2677042,34.69132186
1022,東灘区,幼保連携型認定こども園,光の子認定こども園リジョイス分園,（福）,9,神戸市東灘区向洋町中１－４－１２５　イーストコート4番街１Ｆ,078-857-1125,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,,,マナ分園及びリジョイス分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）。空き状況は本園に記載しています。,http://hikarinoko-nursery.jp/,,,,,,,,,,,,,,,,135.2712607,34.69207159
1017,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　ふかえ虹こども園,（福）,90,神戸市東灘区深江本町４－１－１２,078-413-4124,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,1号定員有,http://www.hinode-wf.com/hoiku/niji/index.html,90,×,×,×,×,○,○,,,,,,,,,135.2907536,34.72121373
1018,東灘区,幼保連携型認定こども園,幼保連携型認定こども園　おかもと虹こども園,（福）,70,神戸市東灘区岡本３－２－６,078-412-2262,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,1号定員有,http://www.hinode-wf.com/hoiku/okamoto/index.html,70,○,×,×,×,×,×,,,,,,,,,135.2724717,34.72545895
1024,東灘区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　茅渟の浦幼稚園,（学）,22,神戸市東灘区鴨子ヶ原３－１７－２７,078-851-4142,２歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,○,,,,,,×,×,×,×,,,,,,,,,135.2482028,34.73326909
1026,東灘区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　渦が森幼稚園,（学）,30,神戸市東灘区渦森台１－８－１,078-841-7189,２歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,○,,,,,,○,○,○,○,,,,,,,,,135.2515911,34.73908771
1020,東灘区,幼稚園型認定こども園,認定こども園　夢の星幼稚園,（学）,20,神戸市東灘区向洋町中３－１－３,078-857-3166,３歳児クラス,５歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,○,1号定員有,http://www.yumenohoshi.ed.jp/,20,,,,×,○,×,,,,,,,,,135.2751851,34.68709819
1021,東灘区,保育所,魚崎保育所,（公立）,116,神戸市東灘区魚崎南町２－１１－１１,078-411-4354,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/uozaki.pdf,116,○,×,○,×,○,○,,,,,,,,,135.2771429,34.71221169
1023,東灘区,保育所,東灘本庄保育所,（公立）,117,神戸市東灘区青木４－１－３２,078-431-3539,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/higasinadahonjyou.pdf,117,○,×,×,×,○,○,,,,,,,,,135.2889688,34.72023941
1025,東灘区,保育所,御影保育所,（公立）,120,神戸市東灘区御影中町４－１－８,078-811-3780,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/mikage.pdf,120,○,×,○,×,○,○,,,,,,,,,135.2549334,34.71754505
